Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position,Pets,TV,Piercings
Fourth Year,7,5,7,Right-handed,On your right side,Dog,The Last of Us,1
First Year,5,4,8,Right-handed,On your right side,Dog,abbot elementary,2
Second Year,5,3,6,Right-handed,On your right side,Dog,"Ahsoka, The Mandalorian",2
Fourth Year,6,4,6,Right-handed,On your back,Dog,Better Call Saul,2
First Year,8,5,6,Right-handed,On your back,Dog,Black Mirror,2
First Year,4,5,8,Right-handed,On your back,Dog,Black Mirror,2
First Year,8,12,9,Right-handed,On your back,Dog,Black Mirror,2
First Year,7,10,8,Right-handed,On your right side,Dog,Black Mirror,2
First Year,5,5,8,Right-handed,On your right side,Dog,"Black Mirror, Gilmore Girls",2
Third Year,4,5,7,Right-handed,On your right side,Dog,"Black Mirror, The Mandalorian",2
Second Year,7,4,9,Right-handed,On your stomach,Dog,Breaking Bad,2
Second Year,2,3,6,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,9,5,6,Right-handed,On your back,Dog,Gilmore Girls,2
Second Year,8,6,6,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,6,5,8,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,3,5,6,Left-handed,On your left side,Dog,Gilmore Girls,2
First Year,6,15,6,Right-handed,On your left side,Dog,Gilmore Girls,2
First Year,3,6,4,Right-handed,On your right side,Dog,Gilmore Girls,2
Second Year,8,12,6,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,8,6,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,7,12,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,5,15,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,8,6,8,Right-handed,On your right side,Dog,Gilmore Girls,2
Fourth Year,4,12,6,Right-handed,On your stomach,Dog,Gilmore Girls,2
First Year,7,200,7,Right-handed,On your stomach,Dog,Gilmore Girls,2
Fourth Year,8,20,8,Right-handed,On your back,Dog,"Gilmore Girls, Breaking Bad",2
Second Year,4,6,4,Right-handed,On your left side,Dog,Grey's Anatomy,2
First Year,7,6,7,Right-handed,On your right side,Dog,New Girl,2
Third Year,2,2,6,Right-handed,On your back,Dog,None,2
Second Year,6,6,6,Right-handed,On your back,Dog,None,2
Third Year,6,2,6,Right-handed,On your left side,Dog,None,2
First Year,5,2,8,Right-handed,On your left side,Dog,None,2
First Year,8,12,8,Right-handed,On your left side,Dog,None,2
Third Year,5,2,6,Right-handed,On your right side,Dog,None,2
Second Year,4,2,7,Right-handed,On your right side,Dog,None,2
Third Year,5,3,7,Right-handed,On your right side,Dog,None,2
Fourth Year,6,4,7,Right-handed,On your right side,Dog,None,2
First Year,6,5,7,Right-handed,On your right side,Dog,None,2
First Year,4,6,8,Right-handed,On your right side,Dog,None,2
First Year,7,6,10,Left-handed,On your stomach,Dog,None,2
Second Year,5,2,6,Left-handed,On your right side,Dog,One Piece,2
First Year,5,4,7,Right-handed,On your right side,Dog,One Piece,2
Second Year,3,3,5,Right-handed,On your right side,Dog,Sex and the City,2
First Year,8,4,6,Right-handed,On your left side,Dog,Succession,2
First Year,5,8,6,Right-handed,On your right side,Dog,Succession,2
Third Year,2,2,7,Right-handed,On your left side,Dog,"Succession, Ted Lasso",2
Second Year,3,2,7,Right-handed,On your left side,Dog,Ted Lasso,2
First Year,4,3,7,Left-handed,On your back,Dog,The Bear,2
Third Year,7,11,6,Right-handed,On your stomach,Dog,The Bear,2
Second Year,8,6,7,Right-handed,On your back,Dog,The Last of Us,2
First Year,9,8,7,Right-handed,On your back,Dog,The Last of Us,2
Second Year,4,5,8,Right-handed,On your back,Dog,The Last of Us,2
Third Year,7,7,7,Right-handed,On your left side,Dog,The Last of Us,2
First Year,7,15,7,Right-handed,On your left side,Dog,The Last of Us,2
First Year,4,4,8,Right-handed,On your right side,Dog,The Last of Us,2
Third Year,8,10,9,Right-handed,On your right side,Dog,The Last of Us,2
Third Year,7,6,7,Left-handed,On your left side,Dog,"The Last of Us, Black Mirror",2
Second Year,6,4,7,Right-handed,On your stomach,Dog,"The Last of Us, One Piece, The Bear",2
Second Year,4,5,7,Right-handed,On your left side,Dog,"The Last of Us, Succession, The Fall of the House of Usher",2
First Year,7,10,6.5,Right-handed,On your right side,Dog,"The Last of Us, The Mandalorian",2
Fourth Year,7,10,9,Right-handed,On your back,Dog,The Mandalorian,2
First Year,7,10,7,Right-handed,On your left side,Dog,The Mandalorian,2
Second Year,4,9,7,Right-handed,On your right side,Dog,The Mandalorian,2
Third Year,4,8,8,Right-handed,On your stomach,Dog,The Mandalorian,2
First Year,3,2,8,Right-handed,On your left side,Dog,"The Mandalorian, Gilmore Girls",2
First Year,7,6,8,Right-handed,On your left side,Dog,"The Mandalorian, Gilmore Girls",2
Second Year,6,7,6,Right-handed,On your right side,Dog,"The Mandalorian, The Bear, Gilmore Girls",2
First Year,5,3,6,Right-handed,On your left side,Dog,The Vampire Diaries ,2
Third Year,4,10,8,Right-handed,On your left side,Dog,White Lotus,2
First Year,1,10,6,Right-handed,On your back,Dog,American Horror Story,3
First Year,2,10,7,Right-handed,On your right side,Dog,Black Mirror,3
First Year,4,5,9,Right-handed,On your right side,Dog,Black Mirror,3
First Year,7,8,6,Right-handed,On your left side,Dog,Gilmore Girls,3
Third Year,7,20,7,Right-handed,On your left side,Dog,Gilmore Girls,3
Second Year,6,7,8,Right-handed,On your stomach,Dog,Gilmore Girls,3
First Year,9,5,8,Right-handed,On your right side,Dog,Jujutsu Kaisen,3
First Year,7,15,8,Right-handed,On your right side,Dog,None,3
Second Year,3,4,6,Right-handed,On your stomach,Dog,None,3
First Year,5,8,7,Right-handed,On your left side,Dog,One Piece,3
First Year,5,4,8,Right-handed,On your right side,Dog,Succession,3
First Year,4,7,7,Right-handed,On your left side,Dog,Ted Lasso,3
First Year,9,4,7,Right-handed,On your right side,Dog,teen wolf,3
First Year,9,10,7,Right-handed,On your back,Dog,The Last of Us,3
Second Year,3,2,6,Right-handed,On your left side,Dog,"The Last of Us, Gilmore Girls, The Office, House of the Dragon ",3
First Year,8,10,6,Right-handed,On your back,Dog,"The Mandalorian, Ted Lasso",3
First Year,7,4,9,Left-handed,On your back,Dog,Black Mirror,4
First Year,5,5,7,Right-handed,On your right side,Dog,Black Mirror,4
Second Year,7,10,7,Right-handed,On your right side,Dog,Black Mirror,4
First Year,8,5,6,Right-handed,On your back,Dog,Full House,4
First Year,8,10,7,Right-handed,On your back,Dog,Gilmore Girls,4
First Year,5,5,7,Left-handed,On your left side,Dog,Gilmore Girls,4
Second Year,4,3,8,Right-handed,On your left side,Dog,Gilmore Girls,4
First Year,7,20,5,Right-handed,On your right side,Dog,Gilmore Girls,4
Third Year,4,10,6,Right-handed,On your right side,Dog,Gilmore Girls,4
First Year,7,5,10,Right-handed,On your right side,Dog,Gilmore Girls,4
Third Year,4,7,7,Right-handed,On your stomach,Dog,Gilmore Girls,4
First Year,3,0,9,Right-handed,On your stomach,Dog,"Gilmore Girls, Grey's Anatomy",4
First Year,4,6,8,Right-handed,On your right side,Dog,"Gilmore Girls, Greys Anatomy",4
First Year,7,6,7,Right-handed,On your right side,Dog,Grey's Anatomy,4
First Year,4,3,7,Right-handed,On your left side,Dog,None,4
Second Year,4,20,8,Right-handed,On your left side,Dog,None,4
First Year,7,7,6,Right-handed,On your right side,Dog,None,4
Second Year,7,15,8,Right-handed,On your right side,Dog,None,4
First Year,6,15,6,Right-handed,On your right side,Dog,One Piece,4
Third Year,7,3,6,Right-handed,On your back,Dog,Succession,4
Fifth Year or above,4,3,8,Right-handed,On your right side,Dog,"Succession, Gilmore Girls",4
Fourth Year,5,2,7,Right-handed,On your right side,Dog,"Succession, Ted Lasso",4
Second Year,6,4,7,Right-handed,On your back,Dog,Ted Lasso,4
First Year,8,3,7,Right-handed,On your right side,Dog,Ted Lasso,4
Third Year,3,5,7,Right-handed,On your right side,Dog,Ted Lasso,4
First Year,7,10,7,Right-handed,On your stomach,Dog,Ted Lasso,4
Second Year,7,20,8,Right-handed,On your stomach,Dog,The Bear,4
First Year,4,4,7,Left-handed,On your left side,Dog,The Last of Us,4
Second Year,8,3,8,Right-handed,On your right side,Dog,"The Last of Us, One Piece, Ted Lasso",4
Second Year,7,5,7,Right-handed,On your right side,Dog,"The Last of Us, The Mandalorian, Supernatural",4
Third Year,7,5,5,Right-handed,On your stomach,Dog,"The Mandalorian, Gilmore Girls",4
First Year,4,3,9,Right-handed,On your right side,Dog,"The Mandalorian, The Bear, Gilmore Girls",4
Second Year,6,6,8,Right-handed,On your left side,Dog,Black Mirror,5
Third Year,4,3,9,Right-handed,On your right side,Dog,Black Mirror,5
First Year,8,10,6,Right-handed,On your right side,Dog,Gilmore Girls,5
First Year,7,15,8,Right-handed,On your stomach,Dog,Gilmore Girls,5
First Year,6,5,8,Left-handed,On your back,Dog,None,5
Second Year,4,4,6,Right-handed,On your right side,Dog,None,5
First Year,3,5,8,Right-handed,On your right side,Dog,None,5
First Year,6,4,7,Right-handed,On your stomach,Dog,Shameless,5
First Year,8,7,6,Right-handed,On your left side,Dog,"Succession, The Bear, Gilmore Girls, criminal minds",5
First Year,5,7,9,Right-handed,On your right side,Dog,"The Bear, Gilmore Girls",5
Second Year,5,7,8,Right-handed,On your stomach,Dog,"The Bear, Gilmore Girls",5
Third Year,4,1,6,Right-handed,On your stomach,Dog,"The Fall of the House of Usher, Gilmore Girls",5
First Year,7,4,6,Left-handed,On your back,Dog,Vampire Diaries,5
Third Year,4,2,10,Right-handed,On your stomach,Dog,Black Mirror,6
Fourth Year,3,4,5,Right-handed,On your left side,Dog,FullMetal Alchemist Brotherhood,6
Second Year,5,3,7,Right-handed,On your right side,Dog,"None, attack on titan",6
Second Year,5,3,7,Right-handed,On your stomach,Dog,"One Piece, Gilmore Girls",6
Third Year,7,10,7,Right-handed,On your right side,Dog,"The Fall of the House of Usher, The office",6
First Year,7,3,7,Right-handed,On your left side,Dog,"The Last of Us, The Mandalorian",6
Second Year,3,4,7,Right-handed,On your right side,Dog,Black Mirror,7
First Year,7,3,8,Right-handed,On your stomach,Dog,None,7
Third Year,4,2,6,Right-handed,On your right side,Dog,"The Last of Us, One Piece, The Bear",7
Second Year,3,5,7,Right-handed,On your back,Dog,Black Mirror,8
Third Year,5,9,6.5,Right-handed,On your left side,Dog,criminal minds ,8
First Year,6,12,8,Right-handed,On your right side,Dog,Gilmore Girls,8
Third Year,2,5,6,Right-handed,On your left side,Dog,Law and Order SVU,8
Second Year,5,10,8,Right-handed,On your back,Dog,New Girl,8
Second Year,6,5,6,Right-handed,On your back,Dog,None,8
Second Year,4,3,8,Right-handed,On your right side,Dog,"One Piece, Gilmore Girls",8
First Year,7,20,7,Right-handed,On your left side,Dog,Ted Lasso,8
Second Year,7,3,6,Right-handed,On your stomach,Dog,New Girl,9
Fourth Year,4,6,8,Right-handed,On your left side,Dog,The Bear,9
Second Year,3,5,6,Right-handed,On your stomach,Dog,"The Last of Us, Black Mirror",9
Third Year,5,4,8,Right-handed,On your left side,Dog,Gilmore Girls,12
Second Year,10,7,6,Right-handed,On your left side,Dog,"Ahsoka, The Mandalorian",14
Third Year,4,5,6,Right-handed,On your right side,Dog,"Black Mirror, Ted Lasso, The Bear",14
Third Year,4,4,7,Right-handed,On your right side,Dog,Gilmore Girls,15
Second Year,7,3,5,Right-handed,On your back,"Dog, Bird","The Last of Us, Gilmore Girls",0
Second Year,8,14,7.5,Right-handed,On your right side,"Dog, Bird",Black Mirror,10
First Year,4,2,7,Right-handed,On your right side,"Dog, Fish",Brooklyn 99,0
First Year,5,4,8,Right-handed,On your left side,"Dog, Fish",None,0
Third Year,1,1,6,Right-handed,On your right side,"Dog, Fish",None,0
Fourth Year,8,5,8,Right-handed,On your back,"Dog, Fish",Ted Lasso,0
First Year,6,11,7,Right-handed,On your right side,"Dog, Fish",Ted Lasso,0
Third Year,3,5,8,Right-handed,On your back,"Dog, Fish","The Last of Us, Black Mirror",0
Second Year,8,1,2,Left-handed,On your back,"Dog, Fish",The Mandalorian,0
First Year,7,3,5,Left-handed,On your back,"Dog, Fish",None,1
Third Year,8,10,8,Right-handed,On your left side,"Dog, Fish",Gilmore Girls,2
First Year,4,10,7,Right-handed,On your right side,"Dog, Fish",None,2
Second Year,4,4,7,Right-handed,On your right side,"Dog, Fish",One Piece,2
First Year,6,3,7,Right-handed,On your stomach,"Dog, Fish","The Mandalorian, Gilmore Girls",2
First Year,3,6,7,Right-handed,On your right side,"Dog, Fish",The Last of Us,3
Second Year,8,20,8,Right-handed,On your right side,"Dog, Fish",Black Mirror,4
Fourth Year,3,3,7,Left-handed,On your back,"Dog, Fish",Black Mirror,6
Second Year,2,12,8,Right-handed,On your left side,"Dog, Fish, Bird",None,0
First Year,6,8,7,I can write with both but my right hand is much better.,On your right side,"Dog, Fish, Bird","The Last of Us, Ahsoka, The Mandalorian",4
Third Year,5,6,8,Right-handed,On your right side,"Dog, Fish, horse",None,5
Second Year,3,2,8,Right-handed,On your right side,"Dog, Fish, Lizard",Gilmore Girls,0
Third Year,6,6,7,Right-handed,On your back,"Dog, Fish, Lizard","Succession, One Piece",0
First Year,7,10,7,Right-handed,On your back,"Dog, Fish, Turtle",None,4
Second Year,7,30,6,Right-handed,On your back,"Dog, Fish, Turtle, Frog",One Piece,0
First Year,7,17,5,Right-handed,On your stomach,"Dog, Goats, chickens ","Black Mirror, Gilmore Girls",2
First Year,3,8,8,Right-handed,On your right side,"Dog, Hamster or Guinea Pig",Better Call Soul,0
First Year,3,2,7,Left-handed,On your left side,"Dog, Hamster or Guinea Pig",Succession,0
First Year,8,4,7,Right-handed,On your back,"Dog, Hamster or Guinea Pig, horse",None,2
First Year,7,8,8,Right-handed,On your left side,"Dog, horse",Gilmore Girls,4
Fourth Year,8,10,5,Right-handed,On your right side,"Dog, Jumping Spider","Ted Lasso, Gilmore Girls, Game of Thrones ",10
Third Year,6,10,7,Right-handed,On your right side,"Dog, Lizard",One Piece,0
Third Year,3,5,7,Right-handed,On your left side,"Dog, Lizard",None,5
First Year,4,3,7,Right-handed,On your stomach,"Dog, Rabbit",None,0
First Year,8,10,6.5,Right-handed,On your back,"Dog, Rabbit",None,4
First Year,3,3,8,Right-handed,On your left side,"Dog, Turtle",The Mandalorian,0
Third Year,7,10,7,Right-handed,On your stomach,"Dog, Turtle",Gossip Girl,4
Third Year,8,4,5,Left-handed,On your right side,"Dog, Wombat ","Black Mirror, One Piece",5
Second Year,3,2,7,Left-handed,On your left side,Duck,Gilmore Girls,4
First Year,5,5,7,Right-handed,On your left side,Fish,"Ahsoka, The Mandalorian",0
First Year,6,8,7,Right-handed,On your left side,Fish,Black Mirror,0
First Year,5,5,8,Right-handed,On your left side,Fish,Friends,0
First Year,7,6,6,Right-handed,On your back,Fish,None,0
First Year,8,30,5,Left-handed,On your left side,Fish,One Piece,0
First Year,5,4,6,Right-handed,On your back,Fish,The Bear,0
Fourth Year,4,3,7,Right-handed,On your left side,Fish,The Mandalorian,0
Third Year,5,2,4,Right-handed,On your right side,Fish,The Mandalorian,1
Third Year,5,8,6,Right-handed,On your left side,Fish,None,2
First Year,4,2,7,Right-handed,On your left side,Fish,None,2
Second Year,5,12,8,Right-handed,On your right side,Fish,Ted Lasso,2
Second Year,7,7,5,Right-handed,On your back,Fish,None,4
Fourth Year,3,8,7,Right-handed,On your right side,Fish,None,4
Second Year,4,5,6,Right-handed,On your left side,Fish,The Inbetweeners,4
First Year,7,8,7,Right-handed,On your right side,"Fish, Bird",Black Mirror,2
Third Year,6,12,7,Right-handed,On your left side,"Fish, Rabbit",None,0
First Year,4,8,7,Right-handed,On your back,"Fish, Rabbit","Gilmore Girls, Breaking Bad",2
Second Year,3,5,7,Right-handed,On your right side,"Fish, Turtle",None,2
First Year,6,4,9,Right-handed,On your left side,"Fish, Turtle, Bird",Gilmore Girls,7
First Year,5,3,7,Right-handed,On your back,Giraffe,None,0
First Year,5,5,7,Right-handed,On your stomach,Hamster or Guinea Pig,Arcane,0
Second Year,4,1,8,Right-handed,On your right side,Hamster or Guinea Pig,"The Mandalorian, Ted Lasso",0
Second Year,3,2,7,Right-handed,On your back,Hamster or Guinea Pig,"One Piece, The Bear",2
First Year,5,7,9,Right-handed,On your right side,Hamster or Guinea Pig,"The Big Bang Theory, How I Met Your Mother, Modern Family...",2
First Year,6,10,8,Right-handed,On your left side,Lizard,One Piece,0
First Year,9,18,8,Right-handed,On your back,Lizard,Ted Lasso,0
Third Year,6,7,7,Right-handed,On your stomach,Lizard,Succession,79
First Year,5,4,7.5,Right-handed,On your back,my younger brother,One Piece,0
First Year,5,30,6,Right-handed,On your right side,myself,None,-1
First Year,3,2,7,Right-handed,On your back,None,Ahsoka,0
Third Year,3,4,7,Right-handed,On your right side,None,"Ahsoka, One Piece",0
First Year,4,4,7.5,Right-handed,On your right side,None,"Ahsoka, One Piece",0
Third Year,2,5,8,Right-handed,On your back,None,"Ahsoka, The Mandalorian",0
First Year,7,15,8,Right-handed,On your back,None,"Ahsoka, The Mandalorian",0
First Year,7,5,6,Right-handed,On your left side,None,"Ahsoka, The Mandalorian",0
Third Year,7,3,8,Right-handed,On your left side,None,"Ahsoka, The Mandalorian",0
Third Year,2,5,8,Right-handed,On your right side,None,"Ahsoka, The Mandalorian, The Fall of the House of Usher",0
First Year,3,3,8,Right-handed,On your back,None,Arcane,0
Third Year,2,2,8,Right-handed,On your left side,None,Avatar: The Last Airbender,0
First Year,3,6,7,Right-handed,On your stomach,None,Avatar: The Last Airbender,0
First Year,6,2,7,Cross-dominant,On your back,None,Better Call Saul,0
First Year,6,4,8,Left-handed,On your back,None,Black Mirror,0
First Year,3,2,7,Right-handed,On your back,None,Black Mirror,0
Third Year,8,3,7,Right-handed,On your left side,None,Black Mirror,0
First Year,3,3,5,Right-handed,On your right side,None,Black Mirror,0
Third Year,8,8,7,Right-handed,On your right side,None,Black Mirror,0
First Year,3,1,8,Right-handed,On your right side,None,Black Mirror,0
Third Year,6,6,7,Left-handed,On your stomach,None,Black Mirror,0
Third Year,3,2,7,Right-handed,On your stomach,None,Black Mirror,0
First Year,8,10,9,Right-handed,On your stomach,None,Black Mirror,0
First Year,6,10,9,Right-handed,On your back,None,"Black Mirror, One Piece",0
First Year,8,4,4,Right-handed,On your right side,None,"Black Mirror, One Piece",0
First Year,7,5,8,Right-handed,On your back,None,"Black Mirror, One Piece, Gilmore Girls",0
First Year,7,30,8,Right-handed,On your left side,None,"Black Mirror, Ted Lasso, Gilmore Girls",0
First Year,9,5,8,Right-handed,On your right side,None,"Black Mirror, The Mandalorian",0
First Year,6,5,7,Right-handed,On your back,None,"Black Mirror, The Mandalorian, One Piece",0
First Year,7,10,8,Left-handed,On your back,None,Breaking Bad,0
Second Year,3,7,6,Right-handed,On your right side,None,Breaking Bad,0
First Year,5,4,8,Right-handed,On your right side,None,Breaking Bad,0
Second Year,7,15,10,Right-handed,On your stomach,None,Game of Thrones,0
Second Year,4,7,6,Right-handed,On your back,None,Gilmore Girls,0
First Year,4,2,7,Right-handed,On your back,None,Gilmore Girls,0
First Year,7,6,7,Right-handed,On your back,None,Gilmore Girls,0
Second Year,8,7,7,Right-handed,On your back,None,Gilmore Girls,0
First Year,9,20,7.5,Right-handed,On your back,None,Gilmore Girls,0
First Year,5,5,6,Right-handed,On your left side,None,Gilmore Girls,0
First Year,8,4,8,Right-handed,On your left side,None,Gilmore Girls,0
First Year,3,2,8,Right-handed,On your right side,None,Gilmore Girls,0
Second Year,8,6,7,Right-handed,On your stomach,None,Gilmore Girls,0
Third Year,8,10,7,Right-handed,On your left side,None,Jane the Virgin ,0
First Year,4,5,7,Left-handed,On your right side,None,Midnight Diners,0
First Year,6,5,6,Right-handed,On your back,None,Neon Genesis Evangelion,0
First Year,4,20,8,Right-handed,On your back,None,Never Have I Ever,0
First Year,4,4,8,Left-handed,On your back,None,None,0
Fourth Year,3,0,3,Right-handed,On your back,None,None,0
First Year,8,2,6,Right-handed,On your back,None,None,0
Second Year,4,3,6,Right-handed,On your back,None,None,0
Third Year,4,3,6,Right-handed,On your back,None,None,0
Second Year,3,5,6,Right-handed,On your back,None,None,0
Third Year,4,5,6,Right-handed,On your back,None,None,0
Third Year,3,2,7,Right-handed,On your back,None,None,0
Third Year,5,2,7,Right-handed,On your back,None,None,0
First Year,3,5,7,Right-handed,On your back,None,None,0
First Year,4,5,7,Right-handed,On your back,None,None,0
First Year,4,5,7,Right-handed,On your back,None,None,0
First Year,7,6,7,Right-handed,On your back,None,None,0
First Year,6,10,7,Right-handed,On your back,None,None,0
First Year,3,3,7.5,Right-handed,On your back,None,None,0
First Year,2,2,8,Right-handed,On your back,None,None,0
First Year,6,5,8,Right-handed,On your back,None,None,0
First Year,7,5,8,Right-handed,On your back,None,None,0
First Year,8,5,8,Right-handed,On your back,None,None,0
First Year,3,6,8.5,Right-handed,On your back,None,None,0
First Year,3,8,9,Right-handed,On your back,None,None,0
Fourth Year,5,4,6,Left-handed,On your left side,None,None,0
Second Year,3,3,7,Left-handed,On your left side,None,None,0
First Year,9,2,5,Right-handed,On your left side,None,None,0
First Year,7,10,5,Right-handed,On your left side,None,None,0
First Year,6,1,6,Right-handed,On your left side,None,None,0
Third Year,8,5,6,Right-handed,On your left side,None,None,0
Fourth Year,2,2,7,Right-handed,On your left side,None,None,0
Third Year,3,3,7,Right-handed,On your left side,None,None,0
Second Year,5,3,7,Right-handed,On your left side,None,None,0
First Year,5,4,7,Right-handed,On your left side,None,None,0
First Year,3,5,7,Right-handed,On your left side,None,None,0
First Year,3,5,7,Right-handed,On your left side,None,None,0
Second Year,4,5,7,Right-handed,On your left side,None,None,0
First Year,5,3,7.5,Right-handed,On your left side,None,None,0
Third Year,3,3,8,Right-handed,On your left side,None,None,0
Third Year,3,3,8,Right-handed,On your left side,None,None,0
Fourth Year,3,20,8,Right-handed,On your left side,None,None,0
Second Year,3,3,8,Left-handed,On your right side,None,None,0
First Year,4,2,6,Right-handed,On your right side,None,None,0
First Year,6,7,6,Right-handed,On your right side,None,None,0
First Year,2,5,6.5,Right-handed,On your right side,None,None,0
Third Year,6,2,7,Right-handed,On your right side,None,None,0
First Year,3,4,7,Right-handed,On your right side,None,None,0
Fourth Year,6,6,7,Right-handed,On your right side,None,None,0
